instituteName,instituteId,specialty,branchId
Гуманитарный,2740,Библиотечно-информационная деятельность,1
Гуманитарный,2740,Журналистика,1
Гуманитарный,2740,История,1
Гуманитарный,2740,Конфликтология,1
Гуманитарный,2740,Культурология,1
Гуманитарный,2740,Лингвистика,1
Гуманитарный,2740,Международные отношения,1
Гуманитарный,2740,Педагогическое образование,1
Гуманитарный,2740,Педагогическое образование (с двумя профилями подготовки),1
Гуманитарный,2740,Перевод и переводоведение,1
Гуманитарный,2740,Политология,1
Гуманитарный,2740,Реклама и связи с общественностью,1
Гуманитарный,2740,Социально-культурная деятельность,1
Гуманитарный,2740,Теология,1
Гуманитарный,2740,Филология,1
Гуманитарный,2740,Философия,1
Живых систем,2800,Биология,1
Живых систем,2800,Биотехнология,1
Живых систем,2800,Медицинская биохимия,1
Живых систем,2800,Педагогическое образование,1
Живых систем,2800,Продукты питания животного происхождения,1
Живых систем,2800,Продукты питания из растительного сырья,1
Живых систем,2800,Стандартизация и метрология,1
Живых систем,2800,Технологические машины и оборудование,1
Инженерный,2802,Дизайн,1
Инженерный,2802,Конструкторско-технологическое обеспечение машиностроительных производств,1
Инженерный,2802,Педагогическое образование,1
Инженерный,2802,Пожарная безопасность,1
Инженерный,2802,Промышленное и гражданское строительство,1
Инженерный,2802,Строительство,1
Инженерный,2802,Технология транспортных процессов,1
Инженерный,2802,Техносферная безопасность,1
Инженерный,2802,Эксплуатация транспортно-технологических машин и комплексов,1
Инженерный,2802,Электроэнергетика и электротехника,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Инфокоммуникационные технологии и системы связи,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Информатика и вычислительная техника,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Информационная безопасность,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Информационная безопасность автоматизированных систем,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Информационные системы и технологии,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Компьютерная безопасность,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Математика,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Математика и компьютерные науки,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Педагогическое образование,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Педагогическое образование (с двумя профилями подготовки),1
Математики и информационных технологий имени профессора н.и. червякова,2788,Прикладная информатика,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Прикладная математика и информатика,1
Математики и информационных технологий имени профессора н.и. червякова,2788,Программная инженерия,1
Наук о земле,4216,География,1
Наук о земле,4216,Землеустройство и кадастры,1
Наук о земле,4216,Картография и геоинформатика,1
Наук о земле,4216,Нефтегазовое дело,1
Наук о земле,4216,Педагогическое образование,1
Наук о земле,4216,Прикладная геология,1
Наук о земле,4216,Технология геологической разведки,1
Наук о земле,4216,Туризм,1
Наук о земле,4216,Экология и природопользование,1
Образования и социальных наук,2763,Конфликтология,1
Образования и социальных наук,2763,Организация работы с молодежью,1
Образования и социальных наук,2763,Педагогическое образование,1
Образования и социальных наук,2763,Педагогическое образование (с двумя профилями подготовки),1
Образования и социальных наук,2763,Психология,1
Образования и социальных наук,2763,Психология служебной деятельности,1
Образования и социальных наук,2763,Психолого-педагогическое образование,1
Образования и социальных наук,2763,Социальная работа,1
Образования и социальных наук,2763,Социология,1
Образования и социальных наук,2763,Специальное (дефектологическое) образование,1
Образования и социальных наук,2763,Физическая культура,1
Физико-технический факультет,4197,Материаловедение и технологии материалов,1
Физико-технический факультет,4197,Наноинженерия,1
Физико-технический факультет,4197,Педагогическое образование,1
Физико-технический факультет,4197,Физика,1
Физико-технический факультет,4197,Электроника и наноэлектроника,1
Химико-фармацевтический факультет,4189,Фармация,1
Химико-фармацевтический факультет,4189,Химическая технология,1
Химико-фармацевтический факультет,4189,Химия,1
Экономики и управления,2798,Бизнес-информатика,1
Экономики и управления,2798,Государственное и муниципальное управление,1
Экономики и управления,2798,Менеджмент,1
Экономики и управления,2798,Сервис,1
Экономики и управления,2798,Таможенное дело,1
Экономики и управления,2798,Управление персоналом,1
Экономики и управления,2798,Финансы и кредит,1
Экономики и управления,2798,Экономика,1
Экономики и управления,2798,Экономическая безопасность,1
Юридический,2716,Педагогическое образование,1
Юридический,2716,Правовое обеспечение национальной безопасности,1
Юридический,2716,Юриспруденция,1
